,rok,plik,kategoria,obiekt,czyWygrany
0,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,ACTOR IN A LEADING ROLE,"Cillian Murphy - ""Oppenheimer""",True
1,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,ACTOR IN A SUPPORTING ROLE,"Robert Downey Jr. - ""Oppenheimer""",True
2,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,ACTRESS IN A LEADING ROLE,"Emma Stone - ""Poor Things""",True
3,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,ACTRESS IN A SUPPORTING ROLE,"Da'Vine Joy Randolph - ""The Holdovers""",True
4,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,ANIMATED FEATURE FILM,"Hayao Miyazaki and Toshio Suzuki - ""The Boy and the Heron""",True
5,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,CINEMATOGRAPHY,"Hoyte van Hoytema - ""Oppenheimer""",True
6,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,COSTUME DESIGN,"Holly Waddington - ""Poor Things""",True
7,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,DIRECTING,"Christopher Nolan - ""Oppenheimer""",True
8,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,DOCUMENTARY FEATURE FILM,"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath - ""20 Days in Mariupol""",True
9,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,DOCUMENTARY SHORT FILM,"Ben Proudfoot and Kris Bowers - ""The Last Repair Shop""",True
10,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,FILM EDITING,"Jennifer Lame - ""Oppenheimer""",True
11,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,INTERNATIONAL FEATURE FILM,"United Kingdom - ""The Zone of Interest""",True
12,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,MAKEUP AND HAIRSTYLING,"Nadia Stacey, Mark Coulier and Josh Weston - ""Poor Things""",True
13,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,MUSIC (Original Score),"Ludwig Göransson - ""Oppenheimer""",True
14,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,MUSIC (Original Song),"Music and Lyric by Billie Eilish and Finneas O'Connell - ""Barbie""",True
15,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,BEST PICTURE,"Emma Thomas, Charles Roven and Christopher Nolan, Producers - ""Oppenheimer""",True
16,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,PRODUCTION DESIGN,"Production Design: James Price and Shona Heath; Set Decoration: Zsuzsa Mihalek - ""Poor Things""",True
17,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,SHORT FILM (Animated),"Dave Mullins and Brad Booker - ""WAR IS OVER! Inspired by the Music of John & Yoko""",True
18,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,SHORT FILM (Live Action),"Wes Anderson and Steven Rales - ""The Wonderful Story of Henry Sugar""",True
19,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,SOUND,"Tarn Willers and Johnnie Burn - ""The Zone of Interest""",True
20,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,VISUAL EFFECTS,"Takashi Yamazaki, Kiyoko Shibuya, Masaki Takahashi and Tatsuji Nojima - ""Godzilla Minus One""",True
21,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,WRITING (Adapted Screenplay),"Written for the screen by Cord Jefferson - ""American Fiction""",True
22,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,WRITING (Original Screenplay),"Screenplay - Justine Triet and Arthur Harari - ""Anatomy of a Fall""",True
23,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,JEAN HERSHOLT HUMANITARIAN AWARD,nan,True
24,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,HONORARY AWARD,"To Angela Bassett, who has inspired audiences around the world with her powerful and fearless performances.",True
25,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,HONORARY AWARD,"To Mel Brooks, for his comedic brilliance, producing acumen and expansive body of work.",True
26,2024,../pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,HONORARY AWARD,"To Carol Littleton, whose commitment to her craft has significantly elevated the art of film editing.",True
27,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,ACTOR IN A LEADING ROLE,"Brendan Fraser - ""The Whale""",True
28,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,ACTOR IN A SUPPORTING ROLE,"Ke Huy Quan - ""Everything Everywhere All at Once""",True
29,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,ACTRESS IN A LEADING ROLE,"Michelle Yeoh - ""Everything Everywhere All at Once""",True
30,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,ACTRESS IN A SUPPORTING ROLE,"Jamie Lee Curtis - ""Everything Everywhere All at Once""",True
31,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,ANIMATED FEATURE FILM,"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley - ""Guillermo del Toro's Pinocchio""",True
32,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,CINEMATOGRAPHY,"James Friend - ""All Quiet on the Western Front""",True
33,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,COSTUME DESIGN,"Ruth Carter - ""Black Panther: Wakanda Forever""",True
34,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,DIRECTING,"Daniel Kwan and Daniel Scheinert - ""Everything Everywhere All at Once""",True
35,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,DOCUMENTARY FEATURE FILM,"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris - ""Navalny""",True
36,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,DOCUMENTARY SHORT FILM,"Kartiki Gonsalves and Guneet Monga - ""The Elephant Whisperers""",True
37,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,FILM EDITING,"Paul Rogers - ""Everything Everywhere All at Once""",True
38,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,INTERNATIONAL FEATURE FILM,"Germany - ""All Quiet on the Western Front""",True
39,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,MAKEUP AND HAIRSTYLING,"Adrien Morot, Judy Chin and Annemarie Bradley - ""The Whale""",True
40,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,MUSIC (Original Score),"Volker Bertelmann - ""All Quiet on the Western Front""",True
41,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,MUSIC (Original Song),"Music by M.M. Keeravaani; Lyric by Chandrabose - ""RRR""",True
42,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,BEST PICTURE,"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers - ""Everything Everywhere All at Once""",True
43,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,PRODUCTION DESIGN,"Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper - ""All Quiet on the Western Front""",True
44,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,SHORT FILM (Animated),"Charlie Mackesy and Matthew Freud - ""The Boy, the Mole, the Fox and the Horse""",True
45,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,SHORT FILM (Live Action),"Tom Berkeley and Ross White - ""An Irish Goodbye""",True
46,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,SOUND,"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon and Mark Taylor - ""Top Gun: Maverick""",True
47,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,VISUAL EFFECTS,"Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett - ""Avatar: The Way of Water""",True
48,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,WRITING (Adapted Screenplay),"Screenplay by Sarah Polley - ""Women Talking""",True
49,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,WRITING (Original Screenplay),"Written by Daniel Kwan & Daniel Scheinert - ""Everything Everywhere All at Once""",True
50,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,JEAN HERSHOLT HUMANITARIAN AWARD,nan,True
51,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,HONORARY AWARD,"To Euzhan Palcy, a masterful filmmaker who broke ground for Black women directors and inspired storytellers of all kinds across the globe.",True
52,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,HONORARY AWARD,"To Diane Warren, for her genius, generosity and passionate commitment to the power of song in film.",True
53,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,HONORARY AWARD,"To Peter Weir, a fearless and consummate filmmaker who has illuminated the human experience with his unique and expansive body of work.",True
54,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,GORDON E. SAWYER AWARD,Iain Neil,True
55,2023,../pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,AWARD OF COMMENDATION,"To Ryan Laney for his innovative adaptation and deployment of AI-driven facial veiling technology used to protect the identities while preserving the visual relatability of subjects in documentary filmmaking as exemplified in Welcome to Chechnya (2020). - ""Welcome to Chechnya""",True
56,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,ACTOR IN A LEADING ROLE,"Will Smith - ""King Richard""",True
57,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,ACTOR IN A SUPPORTING ROLE,"Troy Kotsur - ""CODA""",True
58,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,ACTRESS IN A LEADING ROLE,"Jessica Chastain - ""The Eyes of Tammy Faye""",True
59,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,ACTRESS IN A SUPPORTING ROLE,"Ariana DeBose - ""West Side Story""",True
60,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,ANIMATED FEATURE FILM,"Jared Bush, Byron Howard, Yvett Merino and Clark Spencer - ""Encanto""",True
61,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,CINEMATOGRAPHY,"Greig Fraser - ""Dune""",True
62,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,COSTUME DESIGN,"Jenny Beavan - ""Cruella""",True
63,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,DIRECTING,"Jane Campion - ""The Power of the Dog""",True
64,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,DOCUMENTARY (Feature),"Ahmir ""Questlove"" Thompson, Joseph Patel, Robert Fyvolent and David Dinerstein - ""Summer of Soul (...Or, When the Revolution Could Not Be Televised)""",True
65,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,DOCUMENTARY (Short Subject),"Ben Proudfoot - ""The Queen of Basketball""",True
66,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,FILM EDITING,"Joe Walker - ""Dune""",True
67,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,INTERNATIONAL FEATURE FILM,"Japan - ""Drive My Car""",True
68,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,MAKEUP AND HAIRSTYLING,"Linda Dowds, Stephanie Ingram and Justin Raleigh - ""The Eyes of Tammy Faye""",True
69,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,MUSIC (Original Score),"Hans Zimmer - ""Dune""",True
70,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,MUSIC (Original Song),"Music and Lyric by Billie Eilish and Finneas O'Connell - ""No Time to Die""",True
71,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,BEST PICTURE,"Philippe Rousselet, Fabrice Gianfermi and Patrick Wachsberger, Producers - ""CODA""",True
72,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,PRODUCTION DESIGN,"Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos - ""Dune""",True
73,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,SHORT FILM (Animated),"Alberto Mielgo and Leo Sanchez - ""The Windshield Wiper""",True
74,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,SHORT FILM (Live Action),"Aneil Karia and Riz Ahmed - ""The Long Goodbye""",True
75,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,SOUND,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett - ""Dune""",True
76,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,VISUAL EFFECTS,"Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer - ""Dune""",True
77,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,WRITING (Adapted Screenplay),"Screenplay by Siân Heder - ""CODA""",True
78,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,WRITING (Original Screenplay),"Written by Kenneth Branagh - ""Belfast""",True
79,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,JEAN HERSHOLT HUMANITARIAN AWARD,nan,True
80,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,HONORARY AWARD,"To Samuel L. Jackson, whose dynamic performances resonate across genres and generations of audiences worldwide.",True
81,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,HONORARY AWARD,"To Elaine May, writer, director, performer, pioneer whose bracing comedic spark illuminates us all.",True
82,2022,../pages/dfa96696-b0e2-409a-9ce7-da59d979eec4.html,HONORARY AWARD,"To Liv Ullmann, for her deeply affecting screen portrayals and lifelong commitment to exploring the human condition.",True
83,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,ACTOR IN A LEADING ROLE,"Anthony Hopkins - ""The Father""",True
84,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,ACTOR IN A SUPPORTING ROLE,"Daniel Kaluuya - ""Judas and the Black Messiah""",True
85,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,ACTRESS IN A LEADING ROLE,"Frances McDormand - ""Nomadland""",True
86,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,ACTRESS IN A SUPPORTING ROLE,"Yuh-Jung Youn - ""Minari""",True
87,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,ANIMATED FEATURE FILM,"Pete Docter and Dana Murray - ""Soul""",True
88,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,CINEMATOGRAPHY,"Erik Messerschmidt - ""Mank""",True
89,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,COSTUME DESIGN,"Ann Roth - ""Ma Rainey's Black Bottom""",True
90,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,DIRECTING,"Chloé Zhao - ""Nomadland""",True
91,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,DOCUMENTARY (Feature),"Pippa Ehrlich, James Reed and Craig Foster - ""My Octopus Teacher""",True
92,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,DOCUMENTARY (Short Subject),"Anthony Giacchino and Alice Doyard - ""Colette""",True
93,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,FILM EDITING,"Mikkel E. G. Nielsen - ""Sound of Metal""",True
94,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,INTERNATIONAL FEATURE FILM,"Denmark - ""Another Round""",True
95,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,MAKEUP AND HAIRSTYLING,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson - ""Ma Rainey's Black Bottom""",True
96,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,MUSIC (Original Score),"Trent Reznor, Atticus Ross and Jon Batiste - ""Soul""",True
97,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,MUSIC (Original Song),"Music by H.E.R. and Dernst Emile II; Lyric by H.E.R. and Tiara Thomas - ""Judas and the Black Messiah""",True
98,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,BEST PICTURE,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers - ""Nomadland""",True
99,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,PRODUCTION DESIGN,"Production Design: Donald Graham Burt; Set Decoration: Jan Pascale - ""Mank""",True
100,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,SHORT FILM (Animated),"Will McCormack and Michael Govier - ""If Anything Happens I Love You""",True
101,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,SHORT FILM (Live Action),"Travon Free and Martin Desmond Roe - ""Two Distant Strangers""",True
102,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,SOUND,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh - ""Sound of Metal""",True
103,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,VISUAL EFFECTS,"Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher - ""Tenet""",True
104,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,WRITING (Adapted Screenplay),"Screenplay by Christopher Hampton and Florian Zeller - ""The Father""",True
105,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,WRITING (Original Screenplay),"Written by Emerald Fennell - ""Promising Young Woman""",True
106,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,JEAN HERSHOLT HUMANITARIAN AWARD,nan,True
107,2021,../pages/ef158655-7895-4b88-bb5a-9152bd5e4c7d.html,JEAN HERSHOLT HUMANITARIAN AWARD,nan,True
108,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,ACTOR IN A LEADING ROLE,"Joaquin Phoenix - ""Joker""",True
109,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,ACTOR IN A SUPPORTING ROLE,"Brad Pitt - ""Once upon a Time...in Hollywood""",True
110,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,ACTRESS IN A LEADING ROLE,"Renée Zellweger - ""Judy""",True
111,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,ACTRESS IN A SUPPORTING ROLE,"Laura Dern - ""Marriage Story""",True
112,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,ANIMATED FEATURE FILM,"Josh Cooley, Mark Nielsen and Jonas Rivera - ""Toy Story 4""",True
113,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,CINEMATOGRAPHY,"Roger Deakins - ""1917""",True
114,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,COSTUME DESIGN,"Jacqueline Durran - ""Little Women""",True
115,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,DIRECTING,"Bong Joon Ho - ""Parasite""",True
116,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,DOCUMENTARY (Feature),"Steven Bognar, Julia Reichert and Jeff Reichert - ""American Factory""",True
117,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,DOCUMENTARY (Short Subject),"Carol Dysinger and Elena Andreicheva - ""Learning to Skateboard in a Warzone (If You're a Girl)""",True
118,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,FILM EDITING,"Michael McCusker and Andrew Buckland - ""Ford v Ferrari""",True
119,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,INTERNATIONAL FEATURE FILM,"South Korea - ""Parasite""",True
120,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,MAKEUP AND HAIRSTYLING,"Kazu Hiro, Anne Morgan and Vivian Baker - ""Bombshell""",True
121,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,MUSIC (Original Score),"Hildur Guðnadóttir - ""Joker""",True
122,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,MUSIC (Original Song),"Music by Elton John; Lyric by Bernie Taupin - ""Rocketman""",True
