row_id,entity,role,note,affiliation,person
121,Angela Bassett,who has inspired audiences around the world,with her powerful and fearless performances,,
122,Mel Brooks,,"for his comedic brilliance, producing acumen and expansive body of work",,
123,Carol Littleton,,whose commitment to her craft has significantly elevated the art of film editing,,
245,Euzhan Palcy,a masterful filmmaker,who broke ground for Black women directors and inspired storytellers of all kinds across the globe,,
246,Diane Warren,,"for her genius, generosity and passionate commitment to the power of song in film",,
247,Peter Weir,a fearless and consummate filmmaker,who has illuminated the human experience with his unique and expansive body of work,,
249,Ryan Laney,,for his innovative adaptation and deployment of AI-driven facial veiling technology used to protect the identities while preserving the visual relatability of subjects in documentary filmmaking as exemplified in Welcome to Chechnya (2020),,
371,Samuel L. Jackson,,whose dynamic performances resonate across genres and generations of audiences worldwide,,
372,Elaine May,"writer, director, performer, pioneer",whose bracing comedic spark illuminates us all,,
373,Liv Ullmann,,for her deeply affecting screen portrayals and lifelong commitment to exploring the human condition,,
872,Donald Sutherland,,for a lifetime of indelible characters,,
1373,Steve Martin,,in recognition of his extraordinary talents and the unique inspiration he has brought to the art of motion pictures,,
1621,James Earl Jones,,for his legacy of consistent excellence and uncommon versatility,,
1622,Dick Smith,,for his unparalleled mastery of texture,,
1743,Kevin Brownlow,,for the wise and devoted chronicling of the cinematic parade,,
1744,Jean-Luc Godard,,for passion. For confrontation. For a new kind of cinema,,
1745,Eli Wallach,,for a lifetime's worth of indelible screen characters,,
1868,Lauren Bacall,,in recognition of her central place in the golden age of motion pictures,,
1869,Roger Corman,,for his rich engendering of films and filmmakers,,
1870,Gordon Willis,,for unsurpassed mastery of light,,
2097,Robert Boyle,,in recognition of one of cinema's great careers in art direction,,
2212,Ennio Morricone,,in recognition of his magnificent and multifaceted contributions to the art of film music,,
2322,Robert Altman,,in recognition of a career that has repeatedly reinvented the art form and inspired filmmakers and audiences alike,,
2436,Sidney Lumet,,in recognition of his brilliant services to screenwriters,,
2547,Blake Edwards,,in recognition of his writing,,
2771,Sidney Poitier,,in recognition of his remarkable accomplishments as an artist and as a human being,,
2990,Andrzej Wajda,,in recognition of five decades of extraordinary film direction,,
3104,Elia Kazan,,in recognition of his indelible contributions to the art of motion picture direction,,
3220,Stanley Donen,,in appreciation of a body of work marked by grace,,
3334,Michael Kidd,,in recognition of his services to the art of the dance in the art of the screen,,
3562,Michelangelo Antonioni,,in recognition of his place as one of the cinema's master visual stylists,,
3784,Federico Fellini,,in recognition of his place as one of the screen's master storytellers,,
4104,Akira Kurosawa,,for accomplishments that have inspired,,
4208,Richard Williams,,for the animation direction of Who Framed Roger Rabbit,,
4209,the National Film Board of Canada,,in recognition of its 50th anniversary and its dedicated commitment to originate artistic,,
4210,Eastman Kodak Company,,in recognition of the company's fundamental contributions to the art of motion pictures during the first century of film history,,
4418,Ralph Bellamy,,for his unique artistry and his distinguished service to the profession of acting,,
4954,Barbara Stanwyck,,for superlative creativity and unique contribution to the art of screen acting,,
5162,Alec Guinness,,for advancing the art of screen acting through a host of memorable and distinguished performances,,
5163,Hal Elias,,for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences,,
5267,Walter Lantz,,for bringing joy and laughter to every part of the world through his unique animated motion pictures,,
5268,The Museum of Modern Art Department of Film,,for the contribution it has made to the public's perception of movies as an art form,,
5269,Laurence Olivier,,for the full body of his work,,
5270,King Vidor,,for his incomparable achievements as a cinematic creator and innovator,,
5378,Margaret Booth,,for her exceptional contribution to the art of film editing in the motion picture industry,,
5589,Mary Pickford,,in recognition of her unique contributions to the film industry and the development of film as an artistic medium,,
5696,Howard Hawks,,A master American filmmaker whose creative efforts hold a distinguished place in world cinema,,
5697,Jean Renoir,,a genius who,,
5798,Henri Langlois,,for his devotion to the art of film,,
5799,Groucho Marx,,in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy,,
5904,Edward G. Robinson,,who achieved greatness as a player,,
6008,Charles Chaplin,,for the incalculable effect he has had in making motion pictures the art form of this century,,
6113,Lillian Gish,,for superlative artistry and for distinguished contribution to the progress of motion pictures,,
6114,Orson Welles,,for superlative artistry and versatility in the creation of motion pictures,,
6220,Cary Grant,,for his unique mastery of the art of screen acting with the respect and affection of his colleagues,,
6327,John Chambers,,for his outstanding makeup achievement for Planet of the Apes,,
6328,Onna White,,for her outstanding choreography achievement for Oliver,,
6436,Arthur Freed,,for distinguished service to the Academy and the production of six top-rated Awards telecasts,,
6559,Y. Frank Freeman,,for unusual and outstanding service to the Academy during his thirty years in Hollywood,,
6560,Yakima Canutt,,for achievements as a stunt man and for developing safety devices to protect stunt men everywhere,,
6685,Bob Hope,,for unique and distinguished service to our industry and the Academy,,
6808,William Tuttle,,for his outstanding make-up achievement for 7 Faces of Dr. Lao,,
7171,William L. Hendricks,,for his outstanding patriotic service in the conception,,
7172,Fred L. Metzler,,for his dedication and outstanding service to the Academy of Motion Picture Arts and Sciences,,
7173,Jerome Robbins,,for his brilliant achievements in the art of choreography on film,,
7294,Gary Cooper,,for his many memorable screen performances and the international recognition he,,
7295,Stan Laurel,,for his creative pioneering in the field of cinema comedy,,
7296,Hayley Mills,,for Pollyanna,,
7414,Lee De Forest,,for his pioneering inventions which brought sound to the motion picture,,
7415,Buster Keaton,,for his unique talents which brought immortal comedies to the screen,,
7525,Maurice Chevalier,,for his contributions to the world of entertainment for more than half a century,,
7623,Charles Brackett,,for outstanding service to the Academy,,
7624,B.B. Kahane,,for distinguished service to the motion picture industry,,
7626,The Society of Motion Picture and Television Engineers,,for their contributions to the advancement of the motion picture industry,,
7753,Eddie Cantor,,for distinguished service to the film industry,,
7998,Bausch & Lomb Optical Company,,for their contributions to the advancement of the motion picture industry,,
7999,Kemp R. Niver,,for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection,,
8000,Greta Garbo,,for her unforgettable screen performances,,
8001,Danny Kaye,,for his unique talents,,
8002,Jon Whiteley,,for his outstanding juvenile performance in The Little Kidnappers,,
8003,Vincent Winter,,for his outstanding juvenile performance in The Little Kidnappers,,
8128,Pete Smith,,for his witty and pungent observations on the American scene in his series of,,
8129,20th Century-Fox Film Corporation,,in recognition of their imagination,,
8130,Joseph I. Breen,,for his conscientious,,
8131,Bell and Howell Company,,for their pioneering and basic achievements in the advancement of the motion picture industry,,
8256,George Alfred Mitchell,,for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography,,
8257,Joseph M. Schenck,,for long and distinguished service to the motion picture industry,,
8258,Merian C. Cooper,,for his many innovations and contributions to the art of motion pictures,,
8260,Bob Hope,,for his contribution to the laughter of the world,,
8319,Fred Zinnemann,,with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital',,
8377,Rashomon,,voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951,,
8378,Gene Kelly,,in appreciation of his versatility as an actor,,
8488,The Walls of Malapaga,,voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950,,
8489,George Murphy,,for his services in interpreting the film industry to the country at large,,
8490,Louis B. Mayer,,for distinguished service to the motion picture industry,,
8599,The Bicycle Thief,,voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949,,
8601,Fred Astaire,,for his unique artistry and his contributions to the technique of musical pictures,,
8706,Monsieur Vincent,,voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948,,
8710,Walter Wanger,,for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc,,
8711,Jean Hersholt,,in recognition of his service to the Academy during four terms as president,,
8814,James Baskett,,for his able and heart-warming characterization of Uncle Remus,,
8816,Shoe-Shine,,the high quality of this motion picture,,
8917,Laurence Olivier,,for his outstanding achievement as actor,,
8918,Harold Russell,,for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives,,
8919,Ernst Lubitsch,,for his distinguished contributions to the art of the motion picture,,
9078,Walter Wanger,,for his six years service as President of the Academy of Motion Picture Arts and Sciences,,
9249,Bob Hope,,for his many services to the Academy,,
9431,George Pal,,for the development of novel methods and techniques in the production of short subjects known as Puppetoons,,
9615,Charles Boyer,,for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry,,
9616,Noel Coward,,for his outstanding production achievement in In Which We Serve,,
9617,Metro-Goldwyn-Mayer,,for its achievement in representing the American Way of Life in the production of the,,
9677,United States Office,,for Emergency Management Film Unit,,
9797,Rey Scott,,for his extraordinary achievement in producing Kukan,,
9798,The British Ministry of Information,,for its vivid and dramatic presentation of the heroism of the RAF in the documentary film,,
9799,Leopold Stokowski and his associates,,for their unique achievement in the creation of a new form of visualized music in Walt Disney's production,,
9961,Colonel Nathan Levinson,,for his outstanding service to the industry and the Army during the past nine years,,
10100,The Motion Picture Relief Fund,,acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership. Presented to Jean Hersholt,,
10101,Judy Garland,,for her outstanding performance as a screen juvenile during the past year,,
10102,William Cameron Menzies,,for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind,,
10103,the Technicolor Company,,for its contributions in successfully bringing three-color feature production to the screen,,
10231,Deanna Durbin,,for their significant contribution in bringing to the screen the spirit and personification of youth,,
